name,dateissue,Value
????,13971228,178659.1
????,13971227,175898.8
????,13971226,172522.5
????,13971225,171124.9
????,13971222,169115.5
????,13971221,167909.7
????,13971220,167371.5
????,13971219,164470.4
????,13971218,163007.3
????,13971215,162827.3
????,13971214,162593.6
????,13971213,164238.6
????,13971212,164442.7
????,13971211,164370.3
????,13971208,165295.1
????,13971207,164712.2
????,13971206,166793.6
????,13971205,166030.3
????,13971204,164267.8
????,13971201,159489.5
????,13971130,157387.5
????,13971129,156705.1
????,13971128,156155
????,13971127,157113.6
????,13971124,157310.8
????,13971123,157973.3
????,13971121,158468.2
????,13971117,158535.5
????,13971116,158394.2
????,13971115,158043.9
????,13971114,157355.2
????,13971113,159855.4
????,13971110,160294.9
????,13971109,160153
????,13971108,159818.2
????,13971107,160798
????,13971106,162477.5
????,13971103,162940.9
????,13971102,162805.7
????,13971101,161922.2
????,13971030,165575.1
????,13971029,166131.1
????,13971026,165595
????,13971025,165445.5
????,13971024,164696.4
????,13971023,164493.8
????,13971022,164929.9
????,13971019,164829.4
????,13971018,163967.2
????,13971017,162323.6
????,13971016,161275.8
????,13971015,161107.4
????,13971012,160898.9
????,13971011,161840.8
????,13971010,161405.3
????,13971009,161309.8
????,13971008,160774
????,13971005,158443.7
????,13971004,156950.3
????,13971003,157484
????,13971002,156693.8
????,13971001,154550.5
????,13970928,156083.2
????,13970927,159146.4
????,13970926,159749.9
????,13970925,161708.1
????,13970924,164485.9
????,13970921,165352.1
????,13970920,166235
????,13970919,166915.9
????,13970918,166891.2
????,13970917,167083.2
????,13970914,166860.1
????,13970913,165701.7
????,13970912,166304.4
????,13970911,163138.5
????,13970910,159853.8
????,13970907,163772.1
????,13970906,167199.8
????,13970905,166463.5
????,13970903,171252.9
????,13970830,175713.2
????,13970829,176458.7
????,13970828,175816.5
????,13970827,173557.7
????,13970826,178819.3
????,13970823,181994.3
????,13970822,183212.2
????,13970821,182211.7
????,13970820,180668.3
????,13970819,184231.1
????,13970815,185100.4
????,13970814,184159.8
????,13970813,182918.6
????,13970812,183448.8
????,13970809,183367.3
????,13970807,183219.5
????,13970806,180626.9
????,13970805,178841.3
????,13970802,181060
????,13970801,185318.7
????,13970730,187778.9
????,13970729,189438
????,13970728,188575.8
????,13970725,182929.1
????,13970724,182834.1
????,13970723,180601.5
????,13970722,174826.4
????,13970721,175033
????,13970718,181015.7
????,13970717,180847.6
????,13970716,175185.5
????,13970715,176419.4
????,13970714,184085.2
????,13970711,185559.3
????,13970710,188259.4
????,13970709,195480.2
????,13970708,195104
????,13970707,187406.1
????,13970704,180635.6
????,13970703,174618.2
????,13970702,168624.7
????,13970701,165072.1
????,13970631,160538.2
????,13970627,157328.7
????,13970626,158071.9
????,13970625,155710.2
????,13970624,158119.2
????,13970621,155061.1
????,13970620,148577.6
????,13970619,146998.7
????,13970618,142234.4
????,13970617,139628.7
????,13970614,137714.2
????,13970613,137983.8
????,13970612,135257.8
????,13970611,133676.1
????,13970610,136109.7
????,13970607,137472.4
????,13970606,136765.9
????,13970605,140309.2
????,13970604,138582.6
????,13970603,136343.4
????,13970530,136910.6
????,13970529,137072.9
????,13970528,134354.8
????,13970527,131535.8
????,13970524,130476.9
????,13970523,130927.7
????,13970522,128522.7
????,13970521,129901.9
????,13970520,129013.8
????,13970517,131521.6
????,13970516,133584.4
????,13970515,133328.3
????,13970514,128448
????,13970513,124353.7
????,13970510,123951.3
????,13970509,121173.5
????,13970508,116759.5
????,13970507,113852.3
????,13970506,111877.9
????,13970505,108800.1
????,13970504,108800.1
????,13970503,108800.1
????,13970502,108395.9
????,13970501,108658.9
????,13970431,108830.8
????,13970430,108295.5
????,13970427,107776.6
????,13970426,107780.6
????,13970425,108110
????,13970424,108072.3
????,13970423,108916.6
????,13970420,109505.1
????,13970419,110849
????,13970417,110851.4
????,13970416,111051.6
????,13970413,112490
