name,dateissue,Value
????,14021228,136636
????,14021227,133500
????,14021226,132211
????,14021223,132041
????,14021222,133131
????,14021221,132641
????,14021220,132281
????,14021219,132720
????,14021216,133202
????,14021215,133834
????,14021214,130730
????,14021213,131404
????,14021212,126072
????,14021209,123316
????,14021208,122658
????,14021207,122853
????,14021205,123654
????,14021202,123926
????,14021201,124057
????,14021130,124043
????,14021129,123796
????,14021128,123428
????,14021125,124923
????,14021124,125815
????,14021123,125639
????,14021121,126103
????,14021118,125877
????,14021117,125824
????,14021116,126035
????,14021115,126339
????,14021114,127251
????,14021111,126999
????,14021110,127206
????,14021109,127805
????,14021108,128389
????,14021107,128564
????,14021104,128419
????,14021103,128223
????,14021102,129876
????,14021101,130107
????,14021030,130736
????,14021027,131994
????,14021026,132319
????,14021025,132880
????,14021024,133198
????,14021023,131980
????,14021020,130914
????,14021019,129548
????,14021018,129140
????,14021017,129057
????,14021016,129046
????,14021013,129097
????,14021012,129482
????,14021011,130244
????,14021010,130961
????,14021009,131561
????,14021006,131336
????,14021005,131426
????,14021004,132685
????,14021003,133145
????,14021002,133906
????,14020929,134155
????,14020928,134194
????,14020927,133556
????,14020925,130734
????,14020922,129838
????,14020921,130168
????,14020920,130445
????,14020919,130576
????,14020918,130680
????,14020915,131658
????,14020914,132164
????,14020913,131605
????,14020912,128188
????,14020911,125138
????,14020908,123079
????,14020907,120847
????,14020906,120471
????,14020905,120400
????,14020904,120207
????,14020901,120413
????,14020830,120350
????,14020829,120280
????,14020828,120768
????,14020827,121086
????,14020824,122150
????,14020823,122858
????,14020822,123648
????,14020821,123697
????,14020820,123982
????,14020817,124256
????,14020816,124129
????,14020815,122728
????,14020814,121845
????,14020813,120800
????,14020810,118676
????,14020809,119111
????,14020808,119144
????,14020807,117764
????,14020806,116954
????,14020803,120184
????,14020802,119918
????,14020801,121255
????,14020730,121956
????,14020729,121196
????,14020726,121218
????,14020725,121564
????,14020724,120461
????,14020723,119338
????,14020722,119108
????,14020719,120321
????,14020718,120014
????,14020717,119457
????,14020716,118718
????,14020715,121951
????,14020712,123357
????,14020710,123340
????,14020709,123432
????,14020708,124736
????,14020705,125934
????,14020704,125916
????,14020703,126241
????,14020701,127642
????,14020629,128061
????,14020628,128638
????,14020627,128880
????,14020626,129111
????,14020622,128403
????,14020621,128214
????,14020620,127960
????,14020619,128212
????,14020618,128731
????,14020614,130128
????,14020613,129343
????,14020612,127696
????,14020611,127258
????,14020608,127186
????,14020607,126620
????,14020606,125960
????,14020605,123635
????,14020604,118830
????,14020601,115343
????,14020531,114804
????,14020530,115830
????,14020529,115610
????,14020528,115635
????,14020525,116452
????,14020524,116683
????,14020523,117789
????,14020522,117034
????,14020521,116750
????,14020518,119980
????,14020517,120009
????,14020516,120721
????,14020515,119856
????,14020514,118836
????,14020510,115698
????,14020509,114187
????,14020508,113563
????,14020507,115243
????,14020504,115423
????,14020503,115695
????,14020502,115729
????,14020501,114250
????,14020431,115153
