name,dateissue,Value
????,14021228,1712220
????,14021227,1675500
????,14021226,1661410
????,14021223,1660480
????,14021222,1671980
????,14021221,1665350
????,14021220,1661870
????,14021219,1662580
????,14021216,1665000
????,14021215,1669860
????,14021214,1637490
????,14021213,1642780
????,14021212,1581900
????,14021209,1549330
????,14021208,1539910
????,14021207,1541440
????,14021205,1553210
????,14021202,1557280
????,14021201,1557890
????,14021130,1557610
????,14021129,1553580
????,14021128,1549270
????,14021125,1565230
????,14021124,1576270
????,14021123,1579170
????,14021121,1585760
????,14021118,1583570
????,14021117,1584110
????,14021116,1586620
????,14021115,1589700
????,14021114,1599350
????,14021111,1594070
????,14021110,1597130
????,14021109,1605400
????,14021108,1612610
????,14021107,1612580
????,14021104,1609970
????,14021103,1608460
????,14021102,1630950
????,14021101,1635670
????,14021030,1646030
????,14021027,165852
????,14021026,1659320
????,14021025,1666820
????,14021024,1669170
????,14021023,1655590
????,14021020,1644750
????,14021019,1628440
????,14021018,1623970
????,14021017,1624770
????,14021016,1624680
????,14021013,1625010
????,14021012,1629510
????,14021011,1638220
????,14021010,1646450
????,14021009,1653320
????,14021006,1649570
????,14021005,1651270
????,14021004,1665260
????,14021003,1668950
????,14021002,1676960
????,14020929,1679260
????,14020928,1680970
????,14020927,1675400
????,14020925,1642230
????,14020922,1630290
????,14020921,1632970
????,14020920,1634890
????,14020919,1635690
????,14020918,1636970
????,14020915,1647400
????,14020914,1655280
????,14020913,1648940
????,14020912,1612690
????,14020911,1578260
????,14020908,1552230
????,14020907,1523240
????,14020906,1518210
????,14020905,1516760
????,14020904,1513210
????,14020901,1515000
????,14020830,1514440
????,14020829,1513440
????,14020828,1520060
????,14020827,1521320
????,14020824,1531610
????,14020823,1539590
????,14020822,1549810
????,14020821,1549290
????,14020820,1551900
????,14020817,1555310
????,14020816,1552560
????,14020815,1533080
????,14020814,1520520
????,14020813,1502620
????,14020810,1475280
????,14020809,1482270
????,14020808,1481090
????,14020807,1463110
????,14020806,1453750
????,14020803,1497650
????,14020802,1494870
????,14020801,1515640
????,14020730,1527050
????,14020729,1518360
????,14020726,1516790
????,14020725,1522900
????,14020724,1510700
????,14020723,1495350
????,14020722,1493810
????,14020719,1511180
????,14020718,1505360
????,14020717,1497900
????,14020716,1493280
????,14020715,1539150
????,14020712,1554800
????,14020710,1553020
????,14020709,1553230
????,14020708,1571650
????,14020705,1586640
????,14020704,1587650
????,14020703,1591320
????,14020701,1606190
????,14020629,1610130
????,14020628,1617720
????,14020627,1621890
????,14020626,1623980
????,14020622,1614700
????,14020621,1613580
????,14020620,1609770
????,14020619,1611250
????,14020618,1616120
????,14020614,1632580
????,14020613,1621810
????,14020612,1605130
????,14020611,1600710
????,14020608,1599800
????,14020607,1591000
????,14020606,1578420
????,14020605,1550410
????,14020604,1492590
????,14020601,1450190
????,14020531,1440190
????,14020530,1455090
????,14020529,1452600
????,14020528,1454050
????,14020525,1468020
????,14020524,1471180
????,14020523,1487820
????,14020522,1479200
????,14020521,1481060
????,14020518,1522480
????,14020517,1527270
????,14020516,1538470
????,14020515,1526960
????,14020514,1524010
????,14020510,1480910
????,14020509,1462520
????,14020508,1458000
????,14020507,1482830
????,14020504,1485350
????,14020503,1487630
????,14020502,1489230
????,14020501,1469980
????,14020431,1475430
????,14020428,1497310
????,14020427,1488040
????,14020426,1445670
????,14020425,1499720
????,14020424,1541160
????,14020421,1541750
????,14020420,1591350
????,14020419,1616740
????,14020418,1632120
????,14020417,1645270
????,14020414,1653020
????,14020413,1652980
????,14020412,1635880
????,14020411,1614050
????,14020410,1601080
????,14020407,1608150
????,14020406,1621200
????,14020405,1645350
????,14020404,1637700
????,14020403,1615050
????,14020331,1627090
????,14020330,1622090
????,14020329,1620370
????,14020328,1621770
????,14020327,1639530
????,14020324,1639070
????,14020323,1612590
????,14020322,1601780
????,14020321,1657850
????,14020320,1664630
????,14020317,1726710
????,14020316,1728830
????,14020313,1719260
????,14020310,1709730
????,14020309,1724210
????,14020308,1714530
????,14020307,1704050
????,14020306,1754820
????,14020303,1789360
????,14020302,1780320
????,14020301,1770580
????,14020231,1750990
????,14020230,1747220
????,14020227,1769670
????,14020225,1752690
????,14020224,1742930
????,14020223,1678040
????,14020220,1731300
????,14020219,1754400
????,14020218,1752120
????,14020217,1864300
????,14020216,1949570
????,14020213,1928270
????,14020212,1927740
????,14020211,1899040
????,14020210,1902660
????,14020209,1866600
????,14020206,1805620
????,14020205,1815910
????,14020204,1782500
????,14020130,1784680
????,14020129,1792390
????,14020128,1762550
????,14020127,1746240
????,14020126,1725680
????,14020122,1663610
????,14020121,1674280
????,14020120,1691840
????,14020119,1682440
????,14020116,1627090
????,14020115,1619750
????,14020114,1604010
????,14020109,1601650
????,14020108,1586370
????,14020107,1579290
????,14020106,1573880
????,14020105,1561200
????,14011228,1528420
????,14011227,1475010
????,14011224,1399020
????,14011223,1369000
????,14011222,1369290
????,14011221,1370610
????,14011220,1396810
????,14011216,1396360
????,14011215,1369930
????,14011214,1379580
????,14011213,1369010
????,14011210,1396680
????,14011209,1411900
????,14011208,1389090
????,14011207,1393150
????,14011206,1338000
????,14011203,1265500
????,14011202,1271380
????,14011201,1215110
????,14011130,1162190
????,14011126,1154590
????,14011125,1164720
????,14011124,1171140
????,14011123,1168880
????,14011119,1177680
????,14011118,1174240
????,14011117,1154320
????,14011116,1153010
????,14011112,1167380
????,14011111,1166430
????,14011110,1150230
????,14011109,1151970
????,14011108,1201810
????,14011105,1210930
????,14011104,1240850
????,14011103,1248390
????,14011102,1247500
????,14011101,1248960
????,14011028,1277540
????,14011027,1276980
????,14011026,1272810
????,14011025,1243600
????,14011024,1243600
????,14011021,1249960
????,14011020,1267330
????,14011019,1246440
????,14011018,1240870
????,14011017,1212310
????,14011014,1194970
????,14011013,1205190
????,14011012,1206730
????,14011011,1183420
????,14011010,1200750
????,14011007,1251250
????,14011005,1188900
????,14011004,1181260
????,14011003,1161390
????,14010930,1125190
????,14010929,1120590
????,14010928,1128870
????,14010927,1136720
????,14010926,1112980
????,14010923,1116570
????,14010922,1104760
????,14010921,1064910
????,14010920,1044820
????,14010919,1036620
????,14010916,1052160
????,14010915,1058990
????,14010914,1062430
????,14010913,1067340
????,14010912,1066420
????,14010909,1063370
????,14010908,1060740
????,14010907,1056720
????,14010906,1055520
????,14010905,1057640
????,14010902,1059290
????,14010901,1056450
????,14010830,1057670
????,14010829,1053280
????,14010828,1042600
????,14010825,1062510
????,14010824,1060590
????,14010823,1059370
????,14010822,1070020
????,14010821,1077530
????,14010818,1067250
????,14010817,1061000
????,14010816,1047140
????,14010815,1006940
????,14010814,990439
????,14010811,949605
????,14010810,945767
????,14010809,937154
????,14010808,926875
????,14010807,914808
????,14010804,909257
????,14010803,932736
????,14010802,943293
????,14010801,962005
????,14010730,972288
????,14010727,975502
