name,dateissue,Value
????,14021228,25367.2
????,14021227,25068.2
????,14021226,24857.2
????,14021223,24852
????,14021222,24976.4
????,14021221,25011.3
????,14021220,25064.3
????,14021216,25144.8
????,14021215,25187.6
????,14021214,25040.2
????,14021213,25217
????,14021212,24778.5
????,14021209,24450.1
????,14021208,24303.5
????,14021207,24387
????,14021205,24639.6
????,14021202,24785
????,14021201,24798.6
????,14021130,24836.6
????,14021129,24694.5
????,14021128,24617.8
????,14021125,24869.3
????,14021124,25083.4
????,14021123,25225.3
????,14021121,25439.5
????,14021118,25416.6
????,14021117,25431.3
????,14021116,25477.3
????,14021115,25504.6
????,14021114,25578.1
????,14021111,25416.9
????,14021110,25487.9
????,14021109,25546.8
????,14021108,25661.4
????,14021107,25494.7
????,14021104,25279.7
????,14021103,25129.6
????,14021102,25523.7
????,14021101,25670.9
????,14021030,26042.1
????,14021027,26294.3
????,14021026,26332
????,14021025,26509.2
????,14021024,26589.3
????,14021023,26337.3
????,14021020,26275.1
????,14021019,26206.2
????,14021018,26247.4
????,14021017,26241.7
????,14021016,26180.6
????,14021013,26194.3
????,14021012,26219.7
????,14021011,26318
????,14021010,26413
????,14021009,26480.4
????,14021006,26368.9
????,14021005,26309.1
????,14021004,26464.4
????,14021003,26488.6
????,14021002,26577.8
????,14020929,26579.7
????,14020928,26639.1
????,14020927,26640.1
????,14020925,26393.3
????,14020922,26255.6
????,14020921,26266
????,14020920,26336.3
????,14020919,26294.1
????,14020918,26230.2
????,14020915,26196.6
????,14020914,26214.2
????,14020913,26056.6
????,14020912,25730
????,14020911,25591.3
????,14020908,25310.9
????,14020907,25115.1
????,14020906,25152.5
????,14020905,25162
????,14020904,25103
????,14020901,25112.2
????,14020830,24999.9
????,14020829,24951.4
????,14020828,25084.1
????,14020827,24943.7
????,14020824,24976.7
????,14020823,25040.3
????,14020822,25130.9
????,14020821,25018.7
????,14020820,25022.2
????,14020817,25004.4
????,14020816,24990.6
????,14020815,24721
????,14020814,24570
????,14020813,24437.7
????,14020810,24063.6
????,14020809,24308.3
????,14020808,24340.6
????,14020807,24060.7
????,14020806,23903.1
????,14020803,24575.6
????,14020802,24569.4
????,14020801,24865.7
????,14020730,25030.7
????,14020729,25091.8
????,14020726,25026.5
????,14020725,25287.4
????,14020724,25157.9
????,14020723,24848.6
????,14020722,24900
????,14020719,25249.7
????,14020718,25143.9
????,14020717,24991.2
????,14020716,25025.5
????,14020715,25684.7
????,14020712,25928
????,14020710,25844.3
????,14020709,25781.6
????,14020708,26010.9
????,14020705,26106.7
????,14020704,26006.6
????,14020703,26006.9
????,14020701,26187.2
????,14020629,26218.3
????,14020628,26295.1
????,14020627,26478.7
????,14020626,26546
????,14020622,26417.4
????,14020621,26452.1
????,14020620,26427.5
????,14020619,26420.1
????,14020618,26480.5
????,14020614,26777.3
????,14020613,26571.9
????,14020612,26353.5
????,14020611,26353.5
????,14020608,26396.2
????,14020607,26272.8
????,14020606,26278.5
????,14020605,26095.9
????,14020604,25541.4
????,14020601,24968.3
????,14020531,24788.9
????,14020530,25053
????,14020529,25013.1
????,14020528,25102.8
????,14020525,25420
????,14020524,25514.5
????,14020523,25863.4
????,14020522,25752
????,14020521,25772.8
????,14020518,26430.3
????,14020517,26432.7
????,14020516,26650.1
????,14020515,26541
????,14020514,26644.4
????,14020510,26256.2
????,14020509,26020.8
????,14020508,25962.1
????,14020507,26430.4
????,14020504,26508.8
????,14020503,26636.6
????,14020502,26694.8
????,14020501,26436.2
????,14020431,26350.5
????,14020428,26656.7
????,14020427,26387.2
????,14020426,25805.6
????,14020425,26478.3
????,14020424,27186.2
????,14020421,27007.9
????,14020420,27595.6
????,14020419,28020.5
????,14020418,28290.3
????,14020417,28490.9
????,14020414,28441.9
????,14020413,28413.8
????,14020412,28265.8
????,14020411,28001.5
????,14020410,27605.1
????,14020407,27621.3
????,14020406,27786.5
????,14020405,28027.6
????,14020404,28046.1
????,14020403,27818
????,14020331,27997.4
????,14020330,27816.4
????,14020329,27814.4
????,14020328,27563.8
????,14020327,27958
????,14020324,27994.4
????,14020323,27625.8
????,14020322,27518.7
????,14020321,28031.6
????,14020320,28060.9
????,14020317,28963.5
????,14020316,28944.3
????,14020313,28813.3
????,14020310,28624.4
????,14020309,28826.4
????,14020308,28599.6
????,14020307,28304.5
????,14020306,29041.5
????,14020303,29493.3
????,14020302,29497.3
????,14020301,29241.1
????,14020231,28938.1
????,14020230,28916.4
????,14020227,29082.7
????,14020225,28690.5
????,14020224,28481.3
????,14020223,27860
????,14020220,28824.4
????,14020219,29101.4
????,14020218,29447.5
????,14020217,30791
????,14020216,32055.9
????,14020213,31966.2
????,14020212,31722.4
????,14020211,31144.9
????,14020210,30954.2
????,14020209,30370.5
????,14020206,29743.5
????,14020205,29518.2
????,14020204,29055.6
????,14020130,29207.9
????,14020129,29308.5
????,14020128,28952.4
????,14020127,28887.2
????,14020126,28610.4
????,14020122,27699.5
????,14020121,27552.6
????,14020120,27487.5
????,14020119,27059.4
????,14020116,26190
????,14020115,25864
????,14020114,25578.5
????,14020109,25360.6
????,14020108,25000.6
????,14020107,24764.1
????,14020106,24504
????,14020105,24719.4
????,14011228,24394.3
????,14011227,23890.9
????,14011224,23084.2
????,14011223,22709.3
????,14011222,22707.5
????,14011221,22718.5
????,14011220,23083.7
????,14011216,23046.8
????,14011215,22721.8
????,14011214,22784.2
????,14011213,22719
????,14011210,23007
????,14011209,23040.8
????,14011208,22714.6
????,14011207,22757.4
????,14011206,22208.2
????,14011203,21346.2
????,14011202,21279.8
????,14011201,20675
????,14011130,20042.8
????,14011126,19913.7
????,14011125,20030.4
????,14011124,20170.6
????,14011123,20096.1
????,14011119,20279
????,14011118,20211.7
????,14011117,19920.2
????,14011116,20037.3
????,14011112,20251.2
????,14011111,20235.7
????,14011110,20062.4
????,14011109,20223.2
????,14011108,20827.9
????,14011105,20980.1
????,14011104,21272.8
????,14011103,21351.5
????,14011102,21263.2
????,14011101,21288.7
????,14011028,21507.8
????,14011027,21440.5
????,14011026,21376.7
????,14011025,20944.9
????,14011024,20944.9
????,14011021,21033.6
????,14011020,21143.8
????,14011019,20908.5
????,14011018,20757.5
????,14011017,20267.6
????,14011014,20215.6
????,14011013,20377.5
????,14011012,20346.3
????,14011011,20024.5
????,14011010,20126.4
????,14011007,20417.4
????,14011005,19829.2
????,14011004,19768
????,14011003,19538.2
????,14010930,19172.9
????,14010929,19063.2
????,14010928,19075.1
????,14010927,19022.2
????,14010926,18857.8
????,14010923,18858.3
????,14010922,18820.6
????,14010921,18601.8
????,14010920,18487.8
????,14010919,18455.3
????,14010916,18563.5
????,14010915,18610.9
????,14010914,18641.2
????,14010913,18656.4
????,14010912,18673.2
????,14010909,18691
????,14010908,18683.4
????,14010907,18637.2
????,14010906,18554
????,14010905,18564.8
????,14010902,18593.8
????,14010901,18541.8
????,14010830,18510
????,14010829,18468.1
????,14010828,18345.1
????,14010825,18478.4
????,14010824,18431.2
????,14010823,18419
????,14010822,18524
????,14010821,18541.5
????,14010818,18421.6
????,14010817,18348.2
????,14010816,18230.9
????,14010815,17835.4
????,14010814,17707.5
????,14010811,17386.1
????,14010810,17384.3
????,14010809,17333.7
????,14010808,17150.5
????,14010807,17140.7
????,14010804,17210.1
????,14010803,17488
