name,dateissue,Value
????,14021228,742576
????,14021227,733780
????,14021226,730215
????,14021223,732031
????,14021222,735945
????,14021221,737853
????,14021220,738800
????,14021219,739771
????,14021216,738641
????,14021215,739754
????,14021214,735782
????,14021213,740229
????,14021212,724654
????,14021209,714173
????,14021208,709252
????,14021207,712470
????,14021205,723179
????,14021202,726935
????,14021201,727089
????,14021130,727278
????,14021129,722715
????,14021128,721375
????,14021125,727628
????,14021124,732611
????,14021123,734799
????,14021121,739814
????,14021118,738654
????,14021117,738762
????,14021116,738092
????,14021115,736637
????,14021114,737528
????,14021111,732646
????,14021110,734414
????,14021109,738581
????,14021108,740437
????,14021107,733325
????,14021104,727964
????,14021103,724115
????,14021102,739774
????,14021101,744302
????,14021030,754333
????,14021027,762339
????,14021026,761640
????,14021025,766452
????,14021024,767983
????,14021023,764146
????,14021020,763211
????,14021019,758572
????,14021018,759579
????,14021017,760023
????,14021016,757097
????,14021013,756758
????,14021012,755945
????,14021011,757990
????,14021010,758313
????,14021009,759645
????,14021006,755296
????,14021005,755254
????,14021004,760623
????,14021003,761234
????,14021002,761785
????,14020929,761358
????,14020928,762898
????,14020927,764620
????,14020925,756161
????,14020922,752108
????,14020921,752118
????,14020920,750124
????,14020919,746447
????,14020918,744658
????,14020915,747296
????,14020914,747570
????,14020913,741389
????,14020912,731450
????,14020911,728711
????,14020908,720644
????,14020907,712065
????,14020906,710817
????,14020905,708630
????,14020904,705709
????,14020901,706224
????,14020830,703544
????,14020829,700528
????,14020828,703794
????,14020827,701931
????,14020824,702134
????,14020823,702146
????,14020822,705629
????,14020821,701019
????,14020820,699092
????,14020817,698762
????,14020816,696189
????,14020815,684835
????,14020814,678919
????,14020813,673007
????,14020810,660251
????,14020809,670214
????,14020808,670094
????,14020807,659004
????,14020806,653172
????,14020803,676725
????,14020802,676145
????,14020801,685905
????,14020730,690147
????,14020729,686243
????,14020726,682976
????,14020725,689941
????,14020724,686780
????,14020723,678701
????,14020722,680017
????,14020719,690415
????,14020718,685977
????,14020717,680968
????,14020716,683242
????,14020715,709267
????,14020712,715979
????,14020710,712733
????,14020709,710442
????,14020708,715304
????,14020705,718626
????,14020704,717386
????,14020703,716593
????,14020701,721787
????,14020629,721799
????,14020628,722437
????,14020627,723978
????,14020626,723179
????,14020622,718021
????,14020621,718635
????,14020620,715437
????,14020619,714665
????,14020618,716814
????,14020614,726460
????,14020613,720883
????,14020612,713639
????,14020611,711667
????,14020608,710508
????,14020607,707008
????,14020606,705137
????,14020605,700406
????,14020604,684879
????,14020601,667839
????,14020531,663229
????,14020530,674216
????,14020529,673579
????,14020528,677013
????,14020525,684940
????,14020524,687122
????,14020523,696321
????,14020522,691783
????,14020521,693857
????,14020518,713153
????,14020517,713537
????,14020516,719558
????,14020515,717002
????,14020514,717778
????,14020510,705916
????,14020509,699162
????,14020508,697384
????,14020507,711222
????,14020504,711243
????,14020503,710793
????,14020502,709541
????,14020501,702000
????,14020431,699939
????,14020428,712541
????,14020427,703182
????,14020426,687752
????,14020425,708496
????,14020424,728012
????,14020421,724716
????,14020420,746589
????,14020419,760857
????,14020418,770822
????,14020417,777462
????,14020414,776177
????,14020413,773298
????,14020412,763346
????,14020411,754897
????,14020410,746962
????,14020407,746639
????,14020406,750642
????,14020405,756181
????,14020404,750243
????,14020403,742961
????,14020331,746134
????,14020330,738865
????,14020329,738006
????,14020328,732659
????,14020327,743660
????,14020324,741364
????,14020323,730413
????,14020322,729745
????,14020321,748636
????,14020320,750812
????,14020317,776646
????,14020316,776414
????,14020313,771303
????,14020310,765508
????,14020309,773893
????,14020308,763009
????,14020307,754425
????,14020306,780812
????,14020303,792905
????,14020302,791140
????,14020301,776853
????,14020231,764056
????,14020230,760973
????,14020227,765087
????,14020225,752441
????,14020224,748604
????,14020223,734850
????,14020220,764753
????,14020219,782247
????,14020218,803326
????,14020217,840337
????,14020216,870409
????,14020213,855887
????,14020212,845396
????,14020211,824962
????,14020210,816526
????,14020209,800960
????,14020206,786495
????,14020205,781436
????,14020204,768487
????,14020130,760754
????,14020129,756665
????,14020128,740659
????,14020127,731157
????,14020126,719738
????,14020122,692945
????,14020121,687573
????,14020120,687897
????,14020119,676545
????,14020116,651067
????,14020115,637743
????,14020114,630724
????,14020109,622526
????,14020108,609998
????,14020107,598259
????,14020106,592495
????,14020105,592554
????,14011228,585249
????,14011227,575472
????,14011224,554189
????,14011223,541032
????,14011222,539105
????,14011221,539651
????,14011220,549260
????,14011216,545656
????,14011215,538270
????,14011214,537563
????,14011213,532991
????,14011210,537871
????,14011209,538794
????,14011208,534459
????,14011207,536372
????,14011206,525663
????,14011203,503202
????,14011202,507074
????,14011201,493155
????,14011130,476719
????,14011126,474779
????,14011125,479389
????,14011124,482778
????,14011123,480853
????,14011119,485565
????,14011118,484468
????,14011117,476250
????,14011116,480167
????,14011112,487557
????,14011111,486040
????,14011110,479638
????,14011109,484641
????,14011108,504201
????,14011105,512491
????,14011104,522993
????,14011103,522701
????,14011102,519937
????,14011101,521956
????,14011028,526187
????,14011027,523648
????,14011026,520332
????,14011025,504905
????,14011024,504905
????,14011021,504205
????,14011020,503636
????,14011019,496400
????,14011018,492439
????,14011017,482124
????,14011014,473199
????,14011013,475416
????,14011012,473135
????,14011011,464371
????,14011010,469007
????,14011007,480681
????,14011005,467054
????,14011004,462753
????,14011003,456274
????,14010930,445721
????,14010929,442398
????,14010928,443305
????,14010927,443961
????,14010926,436478
????,14010923,433763
????,14010922,430088
????,14010921,420384
????,14010920,414245
????,14010919,412831
????,14010916,417085
????,14010915,416190
????,14010914,414574
????,14010913,414091
????,14010912,413019
????,14010909,413115
????,14010908,412652
????,14010907,409684
????,14010906,408644
????,14010905,408102
????,14010902,407302
????,14010901,405485
????,14010830,404470
????,14010829,402855
????,14010828,397959
????,14010825,401466
????,14010824,399769
????,14010823,398816
????,14010822,401826
????,14010821,401907
????,14010818,397568
????,14010817,396200
????,14010816,393110
????,14010815,379862
????,14010814,374784
????,14010811,365750
????,14010810,365060
????,14010809,360816
????,14010808,356241
????,14010807,358140
????,14010804,361360
????,14010803,369667
????,14010802,373237
????,14010801,377696
????,14010730,378995
????,14010727,378594
????,14010726,377943
????,14010725,376221
????,14010724,376541
????,14010723,379571
????,14010720,380270
????,14010719,378879
????,14010718,375695
????,14010717,376020
????,14010716,381648
????,14010712,380349
????,14010711,381113
????,14010710,382112
????,14010709,386137
????,14010706,392498
????,14010704,388031
????,14010702,386517
????,14010630,395678
????,14010629,397910
????,14010628,400212
????,14010627,401910
????,14010623,404890
????,14010622,405256
????,14010621,402482
????,14010620,403025
????,14010619,405569
????,14010616,410325
????,14010615,410775
????,14010614,410375
????,14010613,408925
????,14010612,407973
????,14010609,411899
????,14010608,410776
????,14010607,410633
????,14010606,408557
????,14010605,410327
????,14010602,408250
????,14010601,402325
????,14010531,397296
????,14010530,396524
????,14010529,397411
????,14010526,399078
????,14010525,398623
????,14010524,397227
????,14010523,395447
????,14010522,395884
????,14010519,389602
????,14010518,390944
????,14010515,390143
????,14010512,384055
????,14010511,380589
????,14010510,380362
????,14010509,379976
????,14010508,387217
????,14010505,389468
????,14010504,388301
????,14010503,391131
????,14010502,400033
????,14010501,404485
????,14010429,403781
????,14010428,401677
????,14010426,402434
????,14010425,405576
????,14010422,407012
????,14010421,405474
????,14010420,409559
????,14010418,415830
????,14010415,418519
????,14010414,420976
????,14010413,420652
????,14010412,418365
????,14010411,417203
????,14010408,421481
????,14010407,421093
????,14010406,417294
????,14010405,417683
????,14010404,422660
????,14010401,422292
????,14010331,423457
????,14010330,426584
????,14010329,425360
????,14010328,425182
????,14010325,428932
????,14010324,429930
????,14010323,429160
????,14010322,421421
????,14010321,419866
????,14010318,421401
????,14010317,419065
????,14010316,420006
????,14010311,429657
????,14010310,428321
????,14010309,425199
????,14010308,424848
????,14010307,432542
????,14010304,436794
????,14010303,431228
????,14010302,432772
????,14010301,441505
????,14010231,440177
????,14010228,442623
????,14010227,447809
????,14010226,449224
????,14010225,444972
????,14010224,444647
????,14010221,438409
????,14010220,428869
????,14010219,426792
????,14010218,429011
????,14010217,426318
????,14010212,422473
????,14010211,419110
????,14010210,415106
????,14010207,411626
????,14010206,410312
????,14010205,405513
????,14010204,402405
????,14010131,401430
????,14010130,400575
????,14010129,397775
????,14010128,390986
????,14010127,387646
????,14010124,382964
????,14010123,380293
????,14010122,387041
????,14010121,383496
????,14010120,378075
????,14010117,377347
????,14010116,375828
????,14010115,373265
????,14010114,372703
????,14010110,365903
????,14010109,362926
????,14010108,360439
????,14010107,353577
????,14010106,350545
????,14001228,348268
????,14001225,342797
????,14001224,340174
????,14001223,338955
????,14001222,338735
????,14001221,339096
????,14001218,342690
????,14001217,340337
????,14001216,341512
????,14001215,338671
????,14001214,335801
????,14001211,334162
????,14001209,333947
????,14001208,330799
????,14001207,329517
????,14001204,330307
????,14001203,328659
????,14001202,327881
????,14001201,324426
????,14001130,325088
????,14001127,325282
????,14001125,325501
????,14001124,324862
????,14001123,326289
????,14001120,326248
????,14001119,325620
????,14001118,323987
