name,dateissue,Value
????,14021228,417319
????,14021227,412376
????,14021226,410590
????,14021223,411665
????,14021222,413933
????,14021221,415060
????,14021220,415773
????,14021219,416319
????,14021216,415848
????,14021215,416486
????,14021214,414250
????,14021213,416753
????,14021212,407985
????,14021209,402083
????,14021208,399576
????,14021207,401504
????,14021205,407792
????,14021202,409917
????,14021201,410004
????,14021130,410111
????,14021129,407683
????,14021128,406927
????,14021125,410570
????,14021124,413382
????,14021123,414632
????,14021121,417462
????,14021118,416808
????,14021117,417147
????,14021116,416800
????,14021115,415978
????,14021114,416493
????,14021111,413736
????,14021110,414903
????,14021109,417257
????,14021108,418306
????,14021107,414311
????,14021104,411282
????,14021103,409108
????,14021102,417954
????,14021101,420654
????,14021030,426340
????,14021027,431219
????,14021026,430830
????,14021025,433552
????,14021024,434473
????,14021023,432311
????,14021020,431849
????,14021019,429224
????,14021018,429794
????,14021017,430045
????,14021016,428390
????,14021013,428198
????,14021012,427738
????,14021011,428895
????,14021010,429077
????,14021009,429831
????,14021006,427370
????,14021005,427522
????,14021004,430562
????,14021003,430911
????,14021002,431223
????,14020929,430981
????,14020928,431853
????,14020927,432828
????,14020925,428185
????,14020922,425904
????,14020921,425911
????,14020920,424863
????,14020919,422780
????,14020918,421935
????,14020915,423567
????,14020914,423826
????,14020913,420321
????,14020912,414687
????,14020911,413134
????,14020908,408560
????,14020907,403696
????,14020906,402989
????,14020905,401759
????,14020904,400103
????,14020901,400395
????,14020830,398876
????,14020829,397166
????,14020828,399018
????,14020827,397961
????,14020824,398149
????,14020823,398156
????,14020822,400321
????,14020821,397748
????,14020820,396654
????,14020817,396467
????,14020816,395007
????,14020815,388565
????,14020814,385208
????,14020813,381854
????,14020810,374616
????,14020809,380269
????,14020808,380201
????,14020807,373909
????,14020806,370600
????,14020803,383964
????,14020802,383634
????,14020801,389172
????,14020730,391579
????,14020729,389627
????,14020726,387830
????,14020725,391785
????,14020724,389995
????,14020723,385407
????,14020722,386154
????,14020719,392059
????,14020718,389539
????,14020717,386694
????,14020716,387986
????,14020715,402764
????,14020712,406576
????,14020710,404920
????,14020709,403684
????,14020708,406447
????,14020705,408335
????,14020704,407630
????,14020703,407180
????,14020701,410131
????,14020629,410140
????,14020628,410503
????,14020627,411379
????,14020626,410924
????,14020622,408003
????,14020621,408352
????,14020620,406534
????,14020619,406221
????,14020618,407443
????,14020614,412926
????,14020613,409780
????,14020612,405691
????,14020611,404570
????,14020608,403911
????,14020607,401921
????,14020606,401004
????,14020605,398486
????,14020604,389653
????,14020601,379958
????,14020531,377335
????,14020530,383586
????,14020529,383224
????,14020528,385374
????,14020525,389888
????,14020524,391187
????,14020523,396423
????,14020522,393840
????,14020521,395026
????,14020518,406011
????,14020517,406230
????,14020516,409658
????,14020515,408352
????,14020514,408794
????,14020510,402423
????,14020509,398573
????,14020508,397559
????,14020507,405672
????,14020504,405684
????,14020503,405427
????,14020502,404832
????,14020501,400589
????,14020431,399928
????,14020428,408565
????,14020427,403341
????,14020426,394942
????,14020425,407134
????,14020424,418774
????,14020421,417997
????,14020420,430613
????,14020419,438965
????,14020418,444914
????,14020417,449183
????,14020414,449113
????,14020413,447625
????,14020412,442057
????,14020411,437502
????,14020410,433066
????,14020407,432960
????,14020406,435281
????,14020405,438504
????,14020404,435197
????,14020403,431105
????,14020331,433228
????,14020330,429132
????,14020329,428758
????,14020328,425810
????,14020327,432425
????,14020324,431277
????,14020323,425167
????,14020322,424778
????,14020321,435970
????,14020320,437461
????,14020317,453228
????,14020316,453353
????,14020313,450493
????,14020310,447621
????,14020309,452524
????,14020308,446287
????,14020307,441492
????,14020306,457052
????,14020303,464417
????,14020302,463603
????,14020301,455434
????,14020231,448120
????,14020230,446575
????,14020227,449454
????,14020225,442025
????,14020224,439958
????,14020223,432025
????,14020220,449993
????,14020219,460310
????,14020218,473058
????,14020217,494958
????,14020216,512785
????,14020213,504234
????,14020212,498053
????,14020211,486015
????,14020210,481167
????,14020209,472118
????,14020206,463592
????,14020205,460785
????,14020204,453149
????,14020130,449063
????,14020129,446649
????,14020128,437201
????,14020127,431592
????,14020126,424976
????,14020122,409246
????,14020121,406073
????,14020120,406265
????,14020119,399560
????,14020116,384513
????,14020115,376644
????,14020114,372508
????,14020109,367666
????,14020108,360267
????,14020107,353335
????,14020106,349930
????,14020105,350077
????,14011228,345762
????,14011227,339986
????,14011224,327700
????,14011223,319957
????,14011222,319027
????,14011221,319368
????,14011220,325055
????,14011216,323217
????,14011215,318972
????,14011214,318721
????,14011213,316011
????,14011210,318904
????,14011209,319451
????,14011208,316881
????,14011207,318015
????,14011206,311666
????,14011203,298359
????,14011202,300654
????,14011201,292407
????,14011130,282662
????,14011126,281609
????,14011125,284345
????,14011124,286407
????,14011123,285264
????,14011119,288300
????,14011118,287648
????,14011117,282777
????,14011116,285158
????,14011112,289652
????,14011111,288751
????,14011110,285036
????,14011109,288010
????,14011108,299634
????,14011105,304560
????,14011104,310801
????,14011103,310628
????,14011102,308985
????,14011101,310185
????,14011028,312898
????,14011027,311482
????,14011026,309566
????,14011025,300433
????,14011024,300433
????,14011021,300023
????,14011020,299685
????,14011019,295379
????,14011018,293028
????,14011017,286890
????,14011014,281579
????,14011013,282898
????,14011012,281627
????,14011011,276410
????,14011010,279169
????,14011007,286119
????,14011005,278007
????,14011004,275447
????,14011003,271603
????,14010930,265324
????,14010929,263346
????,14010928,263886
????,14010927,264276
????,14010926,259822
????,14010923,258206
????,14010922,256018
????,14010921,250242
????,14010920,246587
????,14010919,245745
????,14010916,248340
????,14010915,247807
????,14010914,246845
????,14010913,246557
????,14010912,245974
????,14010909,246060
????,14010908,245784
????,14010907,244016
????,14010906,243397
????,14010905,243074
????,14010902,242597
????,14010901,241515
????,14010830,240918
????,14010829,239956
????,14010828,237040
????,14010825,239402
????,14010824,238390
????,14010823,237822
????,14010822,239616
????,14010821,239693
????,14010818,237149
????,14010817,236333
????,14010816,234490
????,14010815,226587
????,14010814,223658
????,14010811,218365
????,14010810,217953
????,14010809,215419
????,14010808,212688
????,14010807,213822
????,14010804,215744
????,14010803,220704
????,14010802,222835
????,14010801,225497
????,14010730,226282
????,14010727,226246
????,14010726,225857
????,14010725,224831
????,14010724,225022
????,14010723,226833
????,14010720,227251
????,14010719,226419
????,14010718,224517
????,14010717,224711
????,14010716,228074
????,14010712,227298
????,14010711,227755
????,14010710,228351
????,14010709,230926
????,14010706,234730
????,14010704,232059
????,14010702,231153
????,14010630,236632
????,14010629,237969
????,14010628,239384
????,14010627,240400
????,14010623,242183
????,14010622,242403
????,14010621,240744
????,14010620,241068
????,14010619,242590
????,14010616,245462
????,14010615,245731
????,14010614,245492
????,14010613,244625
????,14010612,244143
????,14010609,246493
????,14010608,245821
????,14010607,245736
????,14010606,244493
????,14010605,245554
????,14010602,244310
????,14010601,240765
????,14010531,237755
????,14010530,237381
????,14010529,237997
????,14010526,239024
????,14010525,238752
????,14010524,237950
????,14010523,236888
????,14010522,237227
????,14010519,233493
????,14010518,234297
????,14010515,233817
????,14010512,230177
????,14010511,228294
????,14010510,228159
????,14010509,227928
????,14010508,232272
????,14010505,233705
????,14010504,233005
????,14010503,234703
????,14010502,240137
????,14010501,242810
????,14010429,243725
????,14010428,242455
????,14010426,243005
????,14010425,245568
????,14010422,246932
????,14010421,245999
????,14010420,248820
????,14010418,252670
????,14010415,254851
????,14010414,256347
????,14010413,256288
????,14010412,254935
????,14010411,254401
????,14010408,257342
????,14010407,257105
????,14010406,254868
????,14010405,255120
????,14010404,258165
????,14010401,258066
????,14010331,258802
????,14010330,260963
????,14010329,260437
????,14010328,260353
????,14010325,262826
????,14010324,263438
????,14010323,262980
????,14010322,258404
????,14010321,257499
????,14010318,258865
????,14010317,257430
????,14010316,258057
????,14010311,264164
????,14010310,263342
????,14010309,261719
????,14010308,261515
????,14010307,266598
????,14010304,269386
????,14010303,265953
????,14010302,267101
????,14010301,272568
????,14010231,271938
????,14010228,273864
????,14010227,277285
????,14010226,278220
????,14010225,275586
????,14010224,275478
????,14010221,271707
????,14010220,265964
????,14010219,264980
????,14010218,266498
????,14010217,264894
????,14010212,262629
????,14010211,260742
????,14010210,258251
????,14010207,256180
????,14010206,255362
????,14010205,252384
????,14010204,250450
????,14010131,249934
????,14010130,249401
????,14010129,247669
????,14010128,243442
????,14010127,241503
????,14010124,238647
????,14010123,236991
????,14010122,241197
????,14010121,238988
????,14010120,235633
????,14010117,235180
????,14010116,234233
????,14010115,232636
????,14010114,232286
????,14010110,228047
????,14010109,226192
????,14010108,224642
????,14010107,220365
????,14010106,218615
????,14001228,217195
????,14001225,213870
????,14001224,212257
????,14001223,211589
????,14001222,211527
????,14001221,211875
????,14001218,214191
????,14001217,212923
????,14001216,213658
????,14001215,211889
????,14001214,210112
????,14001211,209183
????,14001209,209154
????,14001208,207182
????,14001207,206405
????,14001204,206900
????,14001203,205868
????,14001202,205543
????,14001201,203437
????,14001130,203856
