name,dateissue,Value
????,14021228,10326870.6
????,14021227,10057724
????,14021226,10037313.4
????,14021223,10093500
????,14021222,10268082.1
????,14021221,10269125.3
????,14021220,10188279.5
????,14021219,10260480.9
????,14021216,10369231.4
????,14021215,10442576.7
????,14021214,9875030
????,14021213,9909240
????,14021212,9359210
????,14021209,8960650
????,14021208,8891040
????,14021207,8904820
????,14021205,8980590
????,14021202,8991450
????,14021201,9004970
????,14021130,8996700
????,14021129,8960850
????,14021128,8915250
????,14021125,9088280
????,14021124,9157650
????,14021123,9145370
????,14021121,9218830
????,14021118,9174350
????,14021117,9178270
????,14021116,9192050
????,14021115,9178350
????,14021114,9227130
????,14021111,9211870
????,14021110,9205530
????,14021109,9266990
????,14021108,9308890
????,14021107,9331440
????,14021104,9331440
????,14021103,9355030
????,14021102,9621420
????,14021101,9613920
????,14021030,9721330
????,14021027,9917770
????,14021026,9939690
????,14021025,9989280
????,14021024,1006020
????,14021023,9919050
????,14021020,9793320
????,14021019,9687370
????,14021018,9608570
????,14021017,9509790
????,14021016,9501390
????,14021013,9522740
????,14021012,9587840
????,14021011,9665260
????,14021010,9751290
????,14021009,9805280
????,14021006,9824450
????,14021005,9833190
????,14021004,9950720
????,14021003,9972720
????,14021002,10020852.5
????,14020929,10047107.2
????,14020928,10027891.5
????,14020927,9883410
????,14020925,9757300
????,14020922,9762670
????,14020921,9852410
????,14020920,9899460
????,14020919,9942640
????,14020918,9998230
????,14020915,10083212.2
????,14020914,10058735.5
????,14020913,10003744.9
????,14020912,9746020
????,14020911,9653090
????,14020908,9491790
????,14020907,9398620
????,14020906,9376140
????,14020905,9391870
????,14020904,9385740
????,14020901,9434050
????,14020830,9401740
????,14020829,9379490
????,14020828,9392940
????,14020827,9407470
????,14020824,9501280
????,14020823,9531770
????,14020822,9614050
????,14020821,9612020
????,14020820,9645870
????,14020817,9669080
????,14020816,9702430
????,14020815,9625510
????,14020814,9468530
????,14020813,9417440
????,14020810,9230520
????,14020809,9270580
????,14020808,9316910
????,14020807,9196550
????,14020806,9085920
????,14020803,9430370
????,14020802,9391540
????,14020801,9538420
????,14020730,9749490
????,14020729,9668660
????,14020726,9697440
????,14020725,9737540
????,14020724,9484610
????,14020723,9322310
????,14020722,9307930
????,14020719,9441590
????,14020718,9375530
????,14020717,9266730
????,14020716,9210160
????,14020715,9565430
????,14020712,9891940
????,14020710,9915160
????,14020709,9943370
????,14020708,10110158.7
????,14020705,10234245.6
????,14020704,10209994.8
????,14020703,10211955.4
????,14020701,10375791.3
????,14020629,10466022.3
????,14020628,10578282.3
????,14020627,10644318.5
????,14020626,10683755.2
????,14020622,10432121
????,14020621,10325495.1
????,14020620,10311366.8
????,14020619,10327828.6
????,14020618,10392739.6
????,14020614,10484067.7
????,14020613,10393236.2
????,14020612,10158289.4
????,14020611,9961430
????,14020608,9885980
????,14020607,9852850
????,14020606,9824780
????,14020605,9677570
????,14020604,9220140
????,14020601,8796700
????,14020531,8646790
????,14020530,8723640
????,14020529,8684660
????,14020528,8678780
????,14020525,8741980
????,14020524,8746860
????,14020523,8818590
????,14020522,8686060
????,14020521,8545250
????,14020518,8786120
????,14020517,8734230
????,14020516,8784190
????,14020515,8754770
????,14020514,8579530
????,14020510,8264790
????,14020509,8009230
????,14020508,7951400
????,14020507,8174540
????,14020504,8205380
????,14020503,8254290
????,14020502,8393610
????,14020501,8400660
????,14020431,8813910
????,14020428,8955760
????,14020427,8940840
????,14020426,8831900
????,14020425,9182170
????,14020424,9438040
????,14020421,9369980
????,14020420,9734650
????,14020419,9867000
????,14020418,9967970
????,14020417,10073660.5
????,14020414,10067770.1
????,14020413,10101531.3
????,14020412,10060457.6
????,14020411,9803890
????,14020410,9769770
????,14020407,9900110
????,14020406,9971070
????,14020405,10170698.1
????,14020404,10358929.2
????,14020403,9989120
????,14020331,10064917.9
????,14020330,9982890
????,14020329,9818030
????,14020328,9703310
????,14020327,9729830
????,14020324,9811180
????,14020323,9599290
????,14020322,9454180
????,14020321,9915640
????,14020320,9935770
????,14020317,10460617.9
????,14020316,10594612
????,14020313,10577648.9
????,14020310,10561203.7
????,14020309,10686720.2
????,14020308,10676253.4
????,14020307,10667161.1
????,14020306,10967260.3
????,14020303,11262363.5
????,14020302,10791278.2
????,14020301,10840374.9
????,14020231,10830538.6
????,14020230,10780018.9
????,14020227,10859809.5
????,14020225,10787731.4
????,14020224,10640094.1
????,14020223,10035485.4
????,14020220,1031680
????,14020219,1039160
????,14020218,1024450
????,14020217,1087690
????,14020216,1128350
????,14020213,1103360
????,14020212,1112870
????,14020211,1099440
????,14020210,1108290
????,14020209,1085080
????,14020206,1057240
????,14020205,1067440
????,14020204,1057920
????,14020130,1069560
????,14020129,1078270
????,14020128,1062390
????,14020127,1047360
????,14020126,1027990
????,14020122,9874800
????,14020121,9913040
????,14020120,9812500
????,14020119,9868810
????,14020116,9637330
????,14020115,9651960
????,14020114,9623830
????,14020109,9670440
????,14020108,9540610
????,14020107,9535000
????,14020106,9394380
????,14020105,8930130
????,14011228,8866460
????,14011227,8716180
????,14011224,8117760
????,14011223,7930010
????,14011222,7917760
????,14011221,7906470
????,14011220,8010470
????,14011216,8020040
????,14011215,7838220
????,14011214,7953820
????,14011213,7979350
????,14011210,8295570
????,14011209,8503680
????,14011208,8291140
????,14011207,8289090
????,14011206,7846550
????,14011203,7389510
????,14011202,7479400
????,14011201,7130850
????,14011130,6776570
????,14011126,6727650
????,14011125,6798150
????,14011124,6851290
????,14011123,6851820
????,14011119,6905950
????,14011118,6940430
????,14011117,6832740
????,14011116,6788450
????,14011112,6979360
????,14011111,7003100
????,14011110,6927650
????,14011109,6913950
????,14011108,7220800
????,14011105,7212660
????,14011104,7439110
????,14011103,7568720
????,14011102,7623780
????,14011101,7536730
????,14011028,7669280
????,14011027,7513420
????,14011026,7589830
????,14011025,7451810
????,14011024,7451810
????,14011021,7489920
????,14011020,7621720
????,14011019,7529910
????,14011018,7479080
????,14011017,7257130
????,14011014,7254550
????,14011013,7410010
????,14011012,7454970
????,14011011,7255890
????,14011010,7415820
????,14011007,7800410
????,14011005,7379340
????,14011004,7378760
????,14011003,7253110
????,14010930,6891700
????,14010929,6924900
????,14010928,7007270
????,14010927,7063050
????,14010926,6941160
????,14010923,7029380
????,14010922,6974230
????,14010921,6759850
????,14010920,6676970
????,14010919,6459570
????,14010916,6607080
????,14010915,6734720
????,14010914,6774560
????,14010913,6809930
????,14010912,6840460
????,14010909,6914870
????,14010908,6871580
????,14010907,6784010
????,14010906,6740060
????,14010905,6796890
????,14010902,6880750
????,14010901,6857400
????,14010830,6912490
????,14010829,6898300
????,14010828,6773990
????,14010825,7019170
????,14010824,6991900
????,14010823,6992210
????,14010822,7114810
????,14010821,7097340
????,14010818,7055660
????,14010817,6915530
????,14010816,6730830
????,14010815,6427010
????,14010814,6380130
????,14010811,5950000
????,14010810,5946060
????,14010809,5925470
????,14010808,5870700
????,14010807,5749630
????,14010804,5680100
????,14010803,5806810
????,14010802,5799920
????,14010801,5834710
????,14010730,5861790
????,14010727,5778420
????,14010726,5802840
????,14010725,5714150
????,14010724,5652180
????,14010723,5683440
????,14010720,5706420
????,14010719,5714360
????,14010718,5585670
????,14010717,5496630
????,14010716,5522710
????,14010712,5374010
????,14010711,5365500
????,14010710,5360830
????,14010709,5412710
????,14010706,5553980
????,14010704,5385400
????,14010702,5350760
????,14010630,5487530
????,14010629,5550870
????,14010628,5591850
????,14010627,5604010
????,14010623,5703650
????,14010622,5722620
????,14010621,5693990
????,14010620,5691480
????,14010619,5684760
????,14010616,5715930
????,14010615,5783040
????,14010614,5833560
????,14010613,5841190
????,14010612,5842440
????,14010609,5948110
????,14010608,5980580
????,14010607,5978840
????,14010606,5969010
????,14010605,6041160
????,14010602,5941660
????,14010601,5773960
????,14010531,5741260
????,14010530,5785310
????,14010529,5806170
????,14010526,5796930
????,14010525,5947550
????,14010524,6068230
????,14010523,6086930
????,14010522,6090090
????,14010519,6036990
????,14010518,6096400
????,14010515,6139860
????,14010512,6222220
????,14010511,6220930
????,14010510,6209840
????,14010509,6171910
????,14010508,6321770
????,14010505,6487050
????,14010504,6479570
????,14010503,6430700
????,14010502,6598770
????,14010501,6449110
????,14010429,6436560
????,14010428,6425940
????,14010426,6419620
????,14010425,6505570
????,14010422,6482690
????,14010421,6256770
????,14010420,6235950
????,14010418,6340780
????,14010415,6334190
????,14010414,6351890
????,14010413,6247420
????,14010412,6230450
????,14010411,6183690
????,14010408,6262050
????,14010407,6322720
????,14010406,6216940
????,14010405,6141890
????,14010404,6200770
????,14010401,6288240
????,14010331,6295820
????,14010330,6348380
????,14010329,6351710
????,14010328,6392310
????,14010325,6410120
????,14010324,6513360
????,14010323,6591800
????,14010322,6407480
????,14010321,6190440
????,14010318,6198180
????,14010317,6165940
????,14010316,6127380
????,14010311,6332350
????,14010310,6376300
????,14010309,6261450
????,14010308,6237860
????,14010307,6327820
????,14010304,6311480
????,14010303,6143440
????,14010302,6137550
????,14010301,6283220
????,14010231,6268800
????,14010228,6328620
????,14010227,6571690
????,14010226,6548080
????,14010225,6558480
????,14010224,6711120
????,14010221,6559730
????,14010220,6374710
????,14010219,6356150
????,14010218,6461410
????,14010217,6462520
????,14010212,6175090
????,14010211,6002070
????,14010210,5982840
????,14010207,5870620
????,14010206,5867290
????,14010205,5732340
????,14010204,5752150
????,14010131,5857590
????,14010130,5896690
????,14010129,5676610
????,14010128,5522460
????,14010127,5524720
????,14010124,5449160
????,14010123,5298420
????,14010122,5459380
????,14010121,5439940
????,14010120,5395740
????,14010117,5403230
????,14010116,5495000
????,14010115,5397570
????,14010114,5217350
????,14010110,5132880
????,14010109,5077390
????,14010108,5213480
????,14010107,5255710
????,14010106,5181550
????,14001228,4970010
????,14001225,4835030
????,14001224,4836910
????,14001223,4896030
????,14001222,4901850
????,14001221,4860630
????,14001218,5072710
????,14001217,4915670
????,14001216,4928100
????,14001215,4716470
????,14001214,4523090
????,14001211,4426960
????,14001209,4363380
????,14001208,4369810
????,14001207,4383740
????,14001204,4396570
????,14001203,4378020
????,14001202,4249940
????,14001201,4194330
????,14001130,4270720
????,14001127,4342330
????,14001125,4384290
????,14001124,4375740
????,14001123,4431550
????,14001120,4425680
????,14001119,4413850
????,14001118,4392650
????,14001117,4370550
????,14001116,4548670
????,14001113,4476130
????,14001112,4502930
????,14001111,4512790
????,14001110,4462760
????,14001109,4295290
????,14001106,4133210
????,14001105,3971140
????,14001104,4120650
????,14001103,4162800
????,14001102,4282470
????,14001029,4146670
????,14001028,4004130
????,14001027,4125020
????,14001026,4119840
????,14001025,4178770
????,14001022,4252060
????,14001021,4242750
????,14001020,4222860
????,14001019,4263660
????,14001018,4417900
????,14001015,4407200
????,14001014,4388670
????,14001013,4475280
????,14001012,4476390
????,14001011,4457690
????,14001008,4558270
????,14001007,4622390
????,14001006,4617280
????,14001005,4543020
????,14001004,4497910
????,14001001,4317980
????,14000930,4162460
????,14000929,4105350
????,14000928,4083630
????,14000927,4187000
????,14000924,4148380
????,14000923,4149970
????,14000922,4127540
????,14000921,4239130
????,14000920,4386650
????,14000917,4408230
????,14000916,4320260
????,14000915,4326580
????,14000914,4348960
????,14000913,4238270
????,14000910,4177190
????,14000909,4266630
????,14000908,4298080
????,14000907,4292150
????,14000906,4305310
????,14000903,4485000
????,14000902,4573460
????,14000901,4606560
????,14000830,4454880
????,14000829,4440350
????,14000826,4556380
????,14000825,4547550
????,14000824,4540660
????,14000823,4710400
????,14000822,4699220
????,14000819,4850820
????,14000818,4794290
????,14000817,4584740
????,14000816,4619080
????,14000815,4689020
????,14000812,4488720
????,14000811,4412970
????,14000810,4296130
????,14000809,4128650
????,14000808,4328720
????,14000805,4458990
????,14000804,4428060
????,14000803,4408900
????,14000801,4543370
????,14000728,4728840
????,14000727,4920470
????,14000726,4879460
????,14000725,4892440
????,14000724,4956210
????,14000721,4875040
????,14000720,5013790
????,14000719,5187630
????,14000718,5223520
????,14000717,5222450
????,14000714,5363860
????,14000712,5250300
????,14000711,5159550
????,14000710,5184220
????,14000707,4973460
????,14000706,4984800
????,14000704,4891490
????,14000703,4853340
????,14000631,4645820
????,14000630,4541620
????,14000629,4657560
????,14000628,4584600
????,14000627,4655840
????,14000624,4840290
????,14000623,4869920
????,14000622,4713990
????,14000621,4796740
????,14000620,5009620
????,14000617,4973030
????,14000616,4952580
????,14000615,5010210
????,14000614,4925640
????,14000613,5004760
????,14000610,4924030
????,14000609,4914420
????,14000608,4999060
????,14000607,4793400
????,14000606,4800860
????,14000603,4655800
????,14000602,4643800
????,14000601,4557620
????,14000531,4571310
????,14000524,4482310
????,14000523,4359440
????,14000520,4317010
????,14000519,4190880
????,14000518,4164230
????,14000517,4141360
????,14000516,4090430
????,14000513,4110740
????,14000512,4019360
????,14000511,3966730
????,14000510,3967550
????,14000509,4009160
????,14000506,3938800
????,14000505,3960400
????,14000504,4103040
????,14000428,4087380
